player|pos|age|tm|g|mp|per|ts_percent|x3pa_rate|fta_rate|orb_percent|drb_percent|trb_percent|ast_percent|stl_percent|blk_percent|tov_percent|usg_percent|ows|dws|ws|ws_48|obpm|dbpm|bpm|vorp
Russell Westbrook|PG|35|LAC|68|1529|16.2|0.514|0.232|0.241|7.1|17.8|12.7|29.2|2.4|1.4|16.4|25.2|0.2|1.9|2.1|0.066|-0.2|0.7|0.5|1
Coby White|PG|23|CHI|79|2881|14.5|0.57|0.46|0.215|1.7|12.4|6.9|20.8|0.9|0.6|11.1|22.7|3.1|1.6|4.7|0.078|0.7|-1.3|-0.7|0.9
Derrick White|SG|29|BOS|73|2381|16.9|0.611|0.59|0.181|2.4|11.3|7|21.2|1.5|3.2|11|18.6|5.2|3.3|8.5|0.171|2.4|1.4|3.8|3.5
Jack White|SF|26|MEM|4|64|1.1|0.188|0.625|0|6.6|14.2|10.3|2|3.1|1.5|11.1|12.1|-0.2|0.1|-0.1|-0.1|-9.1|-1.2|-10.3|-0.1
Cam Whitmore|SF|19|HOU|47|880|16.6|0.561|0.471|0.24|5.3|16.7|11|6|1.7|1.8|8.2|27.1|0.4|1.1|1.5|0.082|1|-0.9|0.1|0.5
Aaron Wiggins|SG|25|OKC|78|1228|15.6|0.664|0.334|0.188|5.7|11|8.4|9.3|2.2|1.4|12.1|16.4|2.1|1.6|3.7|0.144|0.4|0.4|0.7|0.8
Andrew Wiggins|SF|28|GSW|71|1920|12.7|0.544|0.326|0.242|6.2|11.8|9|8.6|1.1|1.9|9.2|20.9|1.2|1.6|2.8|0.07|-1.4|-1.2|-2.5|-0.3
Lindell Wigginton|PG|25|MIL|3|8|5.6|0.51|0.4|0.4|0|0|0|0|0|0|14.5|37.1|0|0|0|-0.154|-14.6|-9.2|-23.9|0
Alondes Williams|SG|24|MIA|7|16|-7.9|0.296|0.5|0.125|0|7.1|3.5|0|0|6.1|19.2|29.1|-0.1|0|-0.1|-0.357|-17.8|-5.4|-23.2|-0.1
Brandon Williams|PG|24|DAL|17|113|9.3|0.439|0.278|0.315|3.9|8.7|6.3|20.9|0.4|0.8|10.2|26|-0.2|0.1|-0.1|-0.044|-2.7|-2.8|-5.5|-0.1
Grant Williams|PF|25|TOT|76|2130|10.6|0.588|0.555|0.231|4.4|12.2|8.3|11.3|1|1.6|14.1|15.9|1.3|1.3|2.6|0.059|-1.9|-0.7|-2.6|-0.3
Jalen Williams|PF|22|OKC|71|2223|19.1|0.621|0.243|0.223|1.9|11.8|7.1|21.3|1.7|1.9|10.1|23.7|4.5|2.7|7.3|0.157|2|0.3|2.3|2.4
Jaylin Williams|C|21|OKC|69|897|12.7|0.561|0.632|0.18|4.7|23.7|14.5|15|1.5|2.8|12.1|13.5|1|1.5|2.4|0.13|-0.8|1.9|1.1|0.7
Jeenathan Williams|SG|24|HOU|22|129|15.6|0.565|0.1|0.26|9.9|9.2|9.6|8.3|1.5|0.7|6.7|19.7|0.2|0.1|0.3|0.11|-0.8|-0.8|-1.6|0
Kenrich Williams|PF|29|OKC|69|1029|11.9|0.568|0.504|0.05|6.9|15.4|11.3|11.4|1.8|0.8|10.1|13.4|1.1|1.3|2.5|0.115|-1.1|0.3|-0.8|0.3
Malik Williams|C|25|TOR|7|107|4.9|0.272|0.147|0.059|15.1|24.1|19.5|2.4|1.4|3.3|7.9|15.1|-0.3|0.1|-0.2|-0.069|-7.8|-3.7|-11.5|-0.3
Mark Williams|C|22|CHO|19|508|22.5|0.675|0|0.424|16.3|24.6|20.4|6.8|1.6|3.7|8.7|17.1|1.6|0.5|2.1|0.198|1.6|-0.8|0.8|0.3
Patrick Williams|PF|22|CHI|43|1174|11|0.553|0.412|0.184|4.3|11.7|7.9|7.7|1.7|2.9|12.8|16.6|0.1|1|1.2|0.048|-2.1|-0.1|-2.3|-0.1
Robert Williams|C|26|POR|6|119|17.2|0.684|0|0.346|9.8|27|17.9|6.3|2.9|5.3|18.9|13.2|0.2|0.2|0.4|0.144|-2.2|2.9|0.7|0.1
Vince Williams Jr.|SG|23|MEM|52|1436|12.8|0.597|0.551|0.343|4.3|18.3|11|18|1.6|2.2|17.4|15.8|1.1|1.7|2.8|0.093|-1.7|1|-0.7|0.5
Ziaire Williams|SF|22|MEM|51|1038|9.3|0.511|0.5|0.198|3.5|15.9|9.5|11.1|1.7|0.8|13.8|19.7|-0.9|1.1|0.2|0.01|-4|-0.4|-4.5|-0.6
Zion Williamson|PF|23|NOP|70|2207|22.8|0.61|0.016|0.452|6.2|14.2|10.2|26.5|1.7|2.1|12.8|29.7|4.7|2.8|7.5|0.164|3.3|0.6|3.8|3.3
D.J. Wilson|PF|27|PHI|2|15|31.6|0.833|0.333|0|7.2|7.5|7.4|22.5|0|12.2|0|17.3|0.1|0|0.1|0.355|15.5|7|22.4|0.1
Jalen Wilson|PF|23|BRK|43|664|10.8|0.537|0.413|0.257|7.5|14.2|10.8|9.3|0.8|0.5|8.7|14.3|0.6|0.4|1.1|0.077|-1.8|-1.1|-2.9|-0.2
Dylan Windler|SF|27|TOT|17|108|14.2|0.717|0.9|0|2.9|13.4|8.1|12.3|0.9|0|6.3|12.5|0.3|0|0.3|0.14|1.7|-1|0.7|0.1
James Wiseman|C|22|DET|63|1091|14.8|0.637|0.007|0.334|11|23.5|17.2|7.3|0.5|3.1|15.9|16.3|1.3|0.8|2.1|0.094|-2.6|-0.9|-3.5|-0.4
Isaiah Wong|SG|23|IND|1|4|-1.1|0.333|0.333|0|0|0|0|0|0|0|0|31.4|0|0|0|-0.277|-11.3|-7.7|-19|0
Christian Wood|PF|28|LAL|50|872|12.3|0.568|0.432|0.356|5.2|26.1|16.2|7.4|0.9|3.3|14.1|17.6|0|1.1|1.2|0.064|-2.6|-0.2|-2.8|-0.2
Delon Wright|PG|31|TOT|47|742|13.6|0.505|0.362|0.239|2.7|10|6.3|20.8|3.5|1.3|6.3|12.8|0.8|0.9|1.7|0.109|-2|2.5|0.4|0.5
Thaddeus Young|PF|35|TOT|33|439|15.9|0.598|0.065|0.139|11.7|14.5|13|17.9|2.5|1|11.6|12.6|0.9|0.4|1.3|0.138|-0.5|0.8|0.3|0.2
Trae Young|PG|25|ATL|54|1942|20.3|0.585|0.465|0.404|1.2|7.3|4.2|45.1|1.8|0.5|16.5|30.5|4|0.6|4.6|0.114|4.9|-2.3|2.6|2.2
Omer Yurtseven|C|25|UTA|48|545|15|0.565|0.13|0.152|14.7|27.3|21|7.7|0.7|2.9|15.9|17.9|0.3|0.4|0.7|0.062|-1.6|-1.5|-3|-0.1
Cody Zeller|C|31|NOP|43|320|12.8|0.483|0.048|0.613|16.9|22|19.5|15.2|1.4|1.5|16.9|12.9|0.4|0.4|0.8|0.124|-2.9|0.3|-2.6|0
Ivica Zubac|C|26|LAC|68|1794|19.3|0.671|0|0.32|12.8|26.2|19.7|7.5|0.6|4.2|11.8|16.4|4.5|2.3|6.8|0.182|0.8|0|0.8|1.3
