player|pos|age|tm|g|mp|per|ts_percent|x3pa_rate|fta_rate|orb_percent|drb_percent|trb_percent|ast_percent|stl_percent|blk_percent|tov_percent|usg_percent|ows|dws|ws|ws_48|obpm|dbpm|bpm|vorp
D'Angelo Russell|PG|27|LAL|76|2484|16|0.588|0.505|0.178|1.3|8.9|5.3|27.6|1.3|1.3|11.8|23|3.3|1.8|5.1|0.099|1.7|-0.8|0.9|1.8
Matt Ryan|SF|26|NOP|28|390|9|0.638|0.805|0.124|1.7|9.6|5.7|6.1|0.8|0.3|13.8|15.4|0.2|0.3|0.5|0.065|-1.4|-1.3|-2.7|-0.1
Domantas Sabonis|C|27|SAC|82|2928|23.2|0.637|0.081|0.389|11|32.3|21.4|33.9|1.2|1.5|17.9|22.2|8.6|4|12.6|0.206|4|2.4|6.5|6.2
Luka Šamanić|PF|24|UTA|43|404|8.9|0.485|0.405|0.354|6|21.6|13.9|6.5|0.6|1.5|13.3|21.8|-0.4|0.2|-0.2|-0.029|-4.9|-2.9|-7.8|-0.6
Jermaine Samuels|SF|25|HOU|14|60|15.1|0.672|0.143|0.143|5.3|18.1|11.6|7|0.8|3.1|0|10.5|0.1|0.1|0.2|0.178|-0.3|1.1|0.8|0
Adama Sanogo|PF|21|CHI|9|66|21.9|0.558|0|0.444|31.6|29.4|30.5|0|0.8|0|13.4|24.8|0.1|0.1|0.2|0.133|-0.4|-6.3|-6.7|-0.1
Gui Santos|PF|21|GSW|23|192|15.6|0.656|0.491|0.309|9.7|17.7|13.8|9.6|1|0.9|10.1|15.2|0.5|0.2|0.7|0.169|0|-0.5|-0.5|0.1
Dario Šarić|C|29|GSW|64|1098|15.3|0.6|0.508|0.24|7.3|20.4|13.9|17.8|1.4|0.8|15.4|19.5|1.6|1.2|2.8|0.123|0.6|0.4|1|0.9
Olivier Sarr|C|24|OKC|15|98|14.8|0.664|0.316|0.789|11.8|28.5|20.5|2.5|0|6.6|10.5|12.7|0.2|0.2|0.4|0.186|-2.6|-0.1|-2.6|0
Marcus Sasser|PG|23|DET|71|1351|11.8|0.542|0.469|0.129|0.9|9.6|5.2|25.4|1.6|0.8|14.3|19.9|0.3|0.6|0.9|0.033|-1.5|-1.1|-2.6|-0.2
Admiral Schofield|PF|26|ORL|23|84|6|0.484|0.615|0.077|4.2|19.7|11.9|11.6|0.6|0|15.7|16.6|-0.1|0.1|0|0.006|-4.1|-0.8|-4.9|-0.1
Dennis Schröder|PG|30|TOT|80|2486|13.3|0.55|0.397|0.23|1.7|9.2|5.3|28|1.2|0.6|13|20.3|2.3|1|3.3|0.063|-0.5|-1.3|-1.8|0.1
Dereon Seabron|SG|23|NOP|6|55|9.2|0.448|0.154|0.462|2|12|7.1|11.2|1.8|1.8|0|12.4|0|0.1|0.1|0.087|-2.7|1.2|-1.5|0
Alperen Sengun|C|21|HOU|63|2046|22|0.585|0.113|0.358|9.5|21.5|15.4|25.2|1.8|2.1|12.5|27|3.8|3.1|6.9|0.163|3.1|1.7|4.9|3.5
Brice Sensabaugh|SF|20|UTA|32|584|8.6|0.511|0.528|0.188|3|16.1|9.6|13|1.1|0.9|16.6|20.3|-0.5|0.2|-0.3|-0.024|-3.3|-2.1|-5.5|-0.5
Collin Sexton|SG|25|UTA|78|2075|19.9|0.607|0.313|0.356|3.8|7.1|5.4|29.5|1.4|0.8|12.1|27.5|5.2|0.3|5.5|0.127|3.8|-1.9|1.9|2
Landry Shamet|SG|26|WAS|46|726|10.5|0.556|0.573|0.168|2.3|6.9|4.6|10.2|1.6|1.1|9.3|18.8|0.1|0.2|0.3|0.022|-2.7|-1.3|-4|-0.4
Day'Ron Sharpe|C|22|BRK|61|921|20|0.596|0.051|0.418|18.6|27.9|23.1|14|1.3|4.3|16.7|19.7|1.6|1.3|2.9|0.152|-0.4|0.4|0|0.5
